location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Turkey,265515,1517,1398.857,6245,36,23.571,3148.185,17.987,16.586,74.046,0.427,0.279,1.13,0,0,0,0,0,0,0,0,107814,6835674,81.05,1.278,97360,1.154,0.014,69.6,48.15,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,0,2.81,77.69,0.791
Uganda,2756,77,129.714,28,0,1.286,60.252,1.683,2.836,0.612,0,0.028,1.38,0,0,0,0,0,0,0,0,0,0,0,0,3786,0.083,0.034,29.2,81.48,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516
Ukraine,117172,2509,2032,2499,50,35.857,2679.212,57.37,46.463,57.141,1.143,0.82,1.16,0,0,0,0,0,0,0,0,21507,1494243,34.167,0.492,16532,0.378,0.123,8.1,66.2,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,0,8.8,72.06,0.751
United Arab Emirates,68901,390,386.857,379,1,1.286,6966.452,39.432,39.114,38.32,0.101,0.13,1.21,0,0,0,0,0,0,0,0,79680,6835137,691.088,8.056,69575,7.035,0.006,179.8,43.52,9890400,112.442,34,1.144,0.526,67293.483,0,317.84,17.26,1.2,37.4,0,1.2,77.97,0.863
United Kingdom,333806,1297,1220.429,41573,9,11.714,4917.155,19.106,17.978,612.394,0.133,0.173,1.16,60,0.884,772,11.372,0,0,0,0,168684,13992972,206.125,2.485,170658,2.514,0.007,139.8,66.2,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,0,2.54,81.32,0.922
United States,5900891,46929,41734.714,181813,971,916.571,17827.323,141.778,126.086,549.28,2.934,2.769,0.95,7558,22.834,37351,112.842,0,0,0,0,964052,88148844,266.309,2.913,827591,2.5,0,0,67.13,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,0,2.77,78.86,0.924
Uruguay,1556,5,5.714,43,0,0.143,447.934,1.439,1.645,12.379,0,0.041,1.09,0,0,0,0,0,0,0,0,1599,167716,48.281,0.46,1593,0.459,0.004,278.8,32.41,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,0,2.8,77.91,0.804
Uzbekistan,40720,273,378,302,4,6,1216.641,8.157,11.294,9.023,0.12,0.179,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.85,33469199,76.134,28.2,4.469,2.873,6253.104,0,724.417,7.57,1.3,24.7,0,4,71.72,0.71
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,0,70.47,0.603
Vatican,12,0,0,0,0,0,14833.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,75.12,0
Venezuela,43879,981,808.571,366,8,7,1543.082,34.499,28.435,12.871,0.281,0.246,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41,28435943,36.253,29,6.614,3.915,16745.022,0,204.85,6.47,0,0,0,0.8,72.06,0.761
Vietnam,1038,2,4.143,30,0,0.714,10.664,0.021,0.043,0.308,0,0.007,0.45,0,0,0,0,0,0,0,0,0,0,0,0,14355,0.147,0,3464.9,78.24,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.694
Yemen,1943,10,5.286,563,1,3,65.145,0.335,0.177,18.876,0.034,0.101,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452
Zambia,11779,178,164.571,283,1,0.857,640.722,9.682,8.952,15.394,0.054,0.047,0.9,0,0,0,0,0,0,0,0,1224,112184,6.102,0.067,931,0.051,0.177,5.7,49.07,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.588
Zimbabwe,6388,96,81.857,195,6,6.143,429.794,6.459,5.507,13.12,0.404,0.413,1,0,0,0,0,0,0,0,0,1551,97272,6.545,0.104,1082,0.073,0.076,13.2,80.56,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.535
